Normal

A,w,eww,D,clickTime
204.8,19.200000000000003,3,0.5,1.1349999904632568
409.6,19.200000000000003,3,0.5,1.125
204.8,19.200000000000003,3,0.5,1.1380000114440918
307.20000000000005,19.200000000000003,3,0.5,1.2149999141693115
409.6,19.200000000000003,3,0.5,0.9670000076293945
307.20000000000005,19.200000000000003,3,0.5,1.2139999866485596
307.20000000000005,19.200000000000003,3,0.5,1.86899995803833
409.6,19.200000000000003,3,0.5,1.2690000534057617
409.6,19.200000000000003,3,0,1.4849998950958252
204.8,19.200000000000003,3,0,1.249000072479248
204.8,19.200000000000003,3,0,1.069000005722046
204.8,19.200000000000003,3,0,1.0230000019073486
409.6,19.200000000000003,3,0,1.4079999923706055
307.20000000000005,19.200000000000003,3,0,1.0450000762939453
307.20000000000005,19.200000000000003,3,0,1.247999906539917
307.20000000000005,19.200000000000003,3,0,0.9130001068115234
409.6,19.200000000000003,3,0,1.062999963760376
409.6,19.200000000000003,2,1,1.1610000133514404
409.6,19.200000000000003,2,1,1.2669999599456787
204.8,19.200000000000003,2,1,0.9779999256134033
307.20000000000005,19.200000000000003,2,1,1.3949999809265137
307.20000000000005,19.200000000000003,2,1,0.9680001735687256
204.8,19.200000000000003,2,1,1.5989999771118164
409.6,19.200000000000003,2,1,0.9570000171661377
307.20000000000005,19.200000000000003,2,1,0.9539999961853027
204.8,19.200000000000003,2,1,1.3579998016357422
307.20000000000005,19.200000000000003,2,0.5,1.003000020980835
204.8,19.200000000000003,2,0.5,1.124000072479248
204.8,19.200000000000003,2,0.5,1.2620000839233398
307.20000000000005,19.200000000000003,2,0.5,1.315999984741211
307.20000000000005,19.200000000000003,2,0.5,1.3480000495910645
204.8,19.200000000000003,2,0.5,1.250999927520752
409.6,19.200000000000003,2,0.5,1.371000051498413
409.6,19.200000000000003,2,0.5,1.1389999389648438
409.6,19.200000000000003,2,0.5,1.3799998760223389
307.20000000000005,19.200000000000003,2,0,1.1600000858306885
204.8,19.200000000000003,2,0,1.2709999084472656
307.20000000000005,19.200000000000003,2,0,1.069000005722046
409.6,19.200000000000003,2,0,1.123000144958496
307.20000000000005,19.200000000000003,2,0,1.3299999237060547
409.6,19.200000000000003,2,0,1.0230000019073486
204.8,19.200000000000003,2,0,1.2360000610351562
409.6,19.200000000000003,2,0,1.0910000801086426
204.8,19.200000000000003,2,0,1.1429998874664307
409.6,19.200000000000003,1.33,1,1.1670000553131104
204.8,19.200000000000003,1.33,1,1.2330000400543213
307.20000000000005,19.200000000000003,1.33,1,1.4659998416900635
204.8,19.200000000000003,1.33,1,1.4579999446868896
409.6,19.200000000000003,1.33,1,1.3640000820159912
409.6,19.200000000000003,1.33,1,1.2090001106262207
307.20000000000005,19.200000000000003,1.33,1,1.7979998588562012
307.20000000000005,19.200000000000003,1.33,1,1.0460000038146973
204.8,19.200000000000003,1.33,1,1.2060000896453857
409.6,19.200000000000003,1.33,0.5,1.2030000686645508
204.8,19.200000000000003,1.33,0.5,1.2739999294281006
204.8,19.200000000000003,1.33,0.5,1.13100004196167
409.6,19.200000000000003,1.33,0.5,1.3339998722076416
204.8,19.200000000000003,1.33,0.5,0.9920001029968262
307.20000000000005,19.200000000000003,1.33,0.5,1.3320000171661377
307.20000000000005,19.200000000000003,1.33,0.5,1.8589999675750732
307.20000000000005,19.200000000000003,1.33,0.5,1.0469999313354492
409.6,19.200000000000003,1.33,0.5,1.2090001106262207
409.6,19.200000000000003,1.33,0,1.054999828338623
409.6,19.200000000000003,1.33,0,1.319000005722046
307.20000000000005,19.200000000000003,1.33,0,1.0490000247955322
204.8,19.200000000000003,1.33,0,1.0780000686645508
409.6,19.200000000000003,1.33,0,0.9670000076293945
204.8,19.200000000000003,1.33,0,1.0469999313354492
307.20000000000005,19.200000000000003,1.33,0,1.1480000019073486
307.20000000000005,19.200000000000003,1.33,0,1.3540000915527344
204.8,19.200000000000003,1.33,0,1.0750000476837158
204.8,12.8,3,1,1.1010000705718994
307.20000000000005,12.8,3,1,1.3209998607635498
409.6,12.8,3,1,1.5799999237060547
307.20000000000005,12.8,3,1,1.4070000648498535
307.20000000000005,12.8,3,1,1.4069998264312744
204.8,12.8,3,1,1.5759999752044678
204.8,12.8,3,1,2.495000123977661
409.6,12.8,3,1,1.5
409.6,12.8,3,1,1.3899998664855957
409.6,12.8,3,0.5,1.880000114440918
204.8,12.8,3,0.5,1.1480000019073486
204.8,12.8,3,0.5,1.2920000553131104
307.20000000000005,12.8,3,0.5,1.0130000114440918
307.20000000000005,12.8,3,0.5,1.1589999198913574
409.6,12.8,3,0.5,1.2160000801086426
307.20000000000005,12.8,3,0.5,2.4169998168945312
204.8,12.8,3,0.5,1.308000087738037
409.6,12.8,3,0.5,1.4149999618530273
307.20000000000005,12.8,3,0,1.383000135421753
204.8,12.8,3,0,1.2129998207092285
307.20000000000005,12.8,3,0,1.2970001697540283
409.6,12.8,3,0,1.560999870300293
409.6,12.8,3,0,1.2820000648498535
204.8,12.8,3,0,0.9920001029968262
204.8,12.8,3,0,1.313999891281128
409.6,12.8,3,0,1.306999921798706
307.20000000000005,12.8,3,0,1.2220001220703125
409.6,12.8,2,1,1.3450000286102295
204.8,12.8,2,1,1.562000036239624
409.6,12.8,2,1,1.806999921798706
307.20000000000005,12.8,2,1,1.180999994277954
204.8,12.8,2,1,1.8829998970031738
409.6,12.8,2,1,1.188000202178955
307.20000000000005,12.8,2,1,2.051999807357788
307.20000000000005,12.8,2,1,1.569000005722046
204.8,12.8,2,1,1.7940001487731934
409.6,12.8,2,0.5,1.4479999542236328
307.20000000000005,12.8,2,0.5,1.3250000476837158
409.6,12.8,2,0.5,1.2949998378753662
204.8,12.8,2,0.5,1.440999984741211
307.20000000000005,12.8,2,0.5,1.2230000495910645
307.20000000000005,12.8,2,0.5,1.1480000019073486
204.8,12.8,2,0.5,1.4010000228881836
409.6,12.8,2,0.5,2.002000093460083
204.8,12.8,2,0.5,1.1589999198913574
409.6,12.8,2,0,1.499000072479248
204.8,12.8,2,0,1.0290000438690186
307.20000000000005,12.8,2,0,2.2669999599456787
307.20000000000005,12.8,2,0,1.1159999370574951
307.20000000000005,12.8,2,0,1.0120000839233398
204.8,12.8,2,0,1.3650000095367432
409.6,12.8,2,0,1.4240000247955322
409.6,12.8,2,0,1.1019999980926514
204.8,12.8,2,0,1.0929999351501465
307.20000000000005,12.8,1.33,1,1.5420000553131104
204.8,12.8,1.33,1,2.376999855041504
204.8,12.8,1.33,1,1.0699999332427979
409.6,12.8,1.33,1,1.443000078201294
409.6,12.8,1.33,1,1.8420000076293945
307.20000000000005,12.8,1.33,1,1.6050000190734863
409.6,12.8,1.33,1,1.4869999885559082
204.8,12.8,1.33,1,1.2000000476837158
307.20000000000005,12.8,1.33,1,2.496999979019165
307.20000000000005,12.8,1.33,0.5,1.2850000858306885
307.20000000000005,12.8,1.33,0.5,1.3339998722076416
204.8,12.8,1.33,0.5,1.3500001430511475
409.6,12.8,1.33,0.5,1.557999849319458
409.6,12.8,1.33,0.5,1.4660000801086426
204.8,12.8,1.33,0.5,1.4219999313354492
307.20000000000005,12.8,1.33,0.5,1.24399995803833
204.8,12.8,1.33,0.5,1.4249999523162842
409.6,12.8,1.33,0.5,1.4660000801086426
409.6,12.8,1.33,0,1.3389999866485596
307.20000000000005,12.8,1.33,0,2.000999927520752
307.20000000000005,12.8,1.33,0,2.125
409.6,12.8,1.33,0,2.704000234603882
409.6,12.8,1.33,0,1.3959999084472656
204.8,12.8,1.33,0,1.0550000667572021
204.8,12.8,1.33,0,1.2599999904632568
204.8,12.8,1.33,0,1.3599998950958252
